id,key,u,v
31148,"417612090|739898650|[160166178, 59646979, 160166174]",417612090,739898650
31149,417612090|810205060|1457690541,417612090,810205060
31150,739898650|574237779|48276831,739898650,574237779
31151,739898650|739914351|1392350652,739898650,739914351
31152,683139827|683139526|50547022,683139827,683139526
31153,683139827|683139437|54155411,683139827,683139437
31154,528651676|528651677|48276833,528651676,528651677
31155,"528651676|527888865|[42304036, 202843565, 202843542]",528651676,527888865
31156,"417612110|417612133|[35648920, 1484009699]",417612110,417612133
31157,417612133|472204732|227711214,417612133,472204732
31158,417612149|417612150|35648929,417612149,417612150
31159,417612149|520768355|35648933,417612149,520768355
31160,417612149|520768539|41999121,417612149,520768539
31161,417612150|417612156|35648932,417612150,417612156
31162,417612150|520768355|41999114,417612150,520768355
31163,520768355|520768375|35648933,520768355,520768375
31164,417612156|520654063|293280340,417612156,520654063
31165,520654063|520654065|41992458,520654063,520654065
31166,520654063|520768667|41999128,520654063,520768667
31167,417612158|520768375|35648933,417612158,520768375
31168,417612158|417612159|35648935,417612158,417612159
31169,"417612158|520653491|[293277024, 42311012, 41992431]",417612158,520653491
31170,520768375|663838139|41999115,520768375,663838139
31171,417612159|527888865|42304036,417612159,527888865
31172,"520653491|520653669|[293277027, 1392194142]",520653491,520653669
31173,1718325889|1718325873|5122154,1718325889,1718325873
31174,418011978|429901226|35731529,418011978,429901226
31175,418011978|418012718|120163219,418011978,418012718
31176,429901226|429901293|37054099,429901226,429901293
31177,418012718|418015362|41627265,418012718,418015362
31178,"418012718|418012713|[35731585, 120163219]",418012718,418012713
31179,"418012713|418016617|[1265664232, 1452924820]",418012713,418016617
31180,418012713|12388041856|1337586533,418012713,12388041856
31181,"418016617|418037539|[1339222514, 1452924819]",418016617,418037539
31182,418016617|12817510104|1384391707,418016617,12817510104
31183,"12388041856|418036888|[293245146, 1337586533]",12388041856,418036888
31184,12388041856|1016673567|1339222512,12388041856,1016673567
31185,418015362|12752036089|1377189094,418015362,12752036089
31186,418015362|511075921|41627265,418015362,511075921
31187,511075921|511076594|41627265,511075921,511076594
31188,418037539|418019287|35739291,418037539,418019287
31189,418037539|418038131|35739313,418037539,418038131
31190,12817510104|12817499987|1384391707,12817510104,12817499987
31191,12817510104|12817499981|1384391708,12817510104,12817499981
31192,418038131|418038617|35739358,418038131,418038617
31193,"418019287|418020000|[293245146, 255594581, 1337586534, 1337586535]",418019287,418020000
31194,418020000|1016672450|35739192,418020000,1016672450
31195,418020000|418036888|293245146,418020000,418036888
31196,418036888|1016673142|560542369,418036888,1016673142
31197,418035463|418035460|35739530,418035463,418035460
31198,1016673142|1016671880|560542369,1016673142,1016671880
31199,3796859817|3809868355|35905822,3796859817,3809868355
31200,12612640983|13674996092|7755771,12612640983,13674996092
31201,12612640983|13674996086|1362287994,12612640983,13674996086
31202,418745343|4598357055|464760425,418745343,4598357055
31203,418745343|1240950549|583053552,418745343,1240950549
31204,4598357055|1240950549|464760426,4598357055,1240950549
31205,483653610|420085225|35934394,483653610,420085225
31206,483653610|600939128|47134630,483653610,600939128
31207,483653610|600939541|47268758,483653610,600939541
31208,600980554|420085223|35934393,600980554,420085223
31209,600980554|600980615|47137340,600980554,600980615
31210,420085223|600939033|35934394,420085223,600939033
31211,420085223|600980602|47137338,420085223,600980602
31212,420085223|420085224|35934393,420085223,420085224
31213,600939033|600939028|47144736,600939033,600939028
31214,600939033|600939301|35934394,600939033,600939301
31215,600939033|600964539|47150172,600939033,600964539
31216,600980602|600980597|47137338,600980602,600980597
31217,600980602|600980577|47150171,600980602,600980577
31218,420085224|600980577|47137337,420085224,600980577
31219,420085224|483653564|35934393,420085224,483653564
31220,600980577|600980570|47137337,600980577,600980570
31221,483653564|600922643|47132492,483653564,600922643
31222,483653564|600939018|47134659,483653564,600939018
31223,483653564|483653571|35934393,483653564,483653571
31224,420085225|420085226|35934394,420085225,420085226
31225,420085225|601110445|40163171,420085225,601110445
31226,420085226|600989544|35934394,420085226,600989544
31227,420085226|483653634|40163172,420085226,483653634
31228,601110445|601087372|27072435,601110445,601087372
31229,600989544|420085228|35934394,600989544,420085228
31230,600989544|600989602|47197650,600989544,600989602
31231,420085228|600939362|35934394,420085228,600939362
31232,420085228|600939196|47134636,420085228,600939196
31233,600939362|600939383|35934394,600939362,600939383
31234,600939362|600939379|47134647,600939362,600939379
31235,600939196|600939202|47134636,600939196,600939202
31236,600939196|600939232|47134637,600939196,600939232
31237,420085231|600939471|35934394,420085231,600939471
31238,420085231|600939383|35934394,420085231,600939383
31239,420085231|601020672|47139942,420085231,601020672
31240,600939471|420085233|35934394,600939471,420085233
31241,600939471|600939477|47134656,600939471,600939477
31242,600939383|600939391|47134651,600939383,600939391
31243,420085233|600939691|35934395,420085233,600939691
31244,420085233|600939301|35934394,420085233,600939301
31245,600939691|600939691|35934395,600939691,600939691
31246,600939301|600939277|47144738,600939301,600939277
31247,2923442274|2923442242|1040014539,2923442274,2923442242
31248,2923442242|2923442247|261447845,2923442242,2923442247
31249,2923442242|2206786048|288788215,2923442242,2206786048
31250,2923442242|487726142|1364780102,2923442242,487726142
31251,420305459|420305468|1457532154,420305459,420305468
31252,420305468|420305466|35956209,420305468,420305466
31253,420319313|420319499|35957805,420319313,420319499
31254,"3728978677|1074356208|[312391466, 39646279]",3728978677,1074356208
31255,420431759|8246094659|886801209,420431759,8246094659
31256,"420431759|601124112|[886801209, 35969379, 128231500]",420431759,601124112
31257,8246094659|4318827778|432953608,8246094659,4318827778
31258,601124112|601124116|47155465,601124112,601124116
31259,420431777|420431781|35969382,420431777,420431781
31260,420431777|420431783|35969382,420431777,420431783
31261,420470125|993111622|904136219,420470125,993111622
31262,993111622|993109300|85613374,993111622,993109300
31263,2298089833|421683893|220717542,2298089833,421683893
31264,2298089833|421690022|851065510,2298089833,421690022
31265,"421683893|421690022|[197400955, 36103278]",421683893,421690022
31266,421906469|873754112|36128153,421906469,873754112
31267,421906469|421906478|36128154,421906469,421906478
31268,421906445|421906482|36128156,421906445,421906482
31269,421906445|863869699|31612937,421906445,863869699
31270,421906482|421906486|36128156,421906482,421906486
31271,421906482|421906487|36128157,421906482,421906487
31272,863869699|2518973081|244597994,863869699,2518973081
31273,431620470|861020020|37112273,431620470,861020020
31274,431620470|620079312|44053877,431620470,620079312
31275,421906478|2994235220|240308361,421906478,2994235220
31276,421906478|3044064745|300310708,421906478,3044064745
31277,422883655|422883687|36235180,422883655,422883687
31278,2205024948|2205024943|210438903,2205024948,2205024943
31279,421968654|422443258|36134545,421968654,422443258
31280,421968654|5057124267|48853503,421968654,5057124267
31281,422443258|421968666|36134545,422443258,421968666
31282,422443258|421968816|658746584,422443258,421968816
31283,5057124267|421968816|36185900,5057124267,421968816
31284,5057124267|422443337|328878951,5057124267,422443337
31285,"2038489446|422443250|[24746873, 29315044]",2038489446,422443250
31286,421968666|421968668|36134548,421968666,421968668
31287,421968666|421968811|134622652,421968666,421968811
31288,421968668|421968697|36134550,421968668,421968697
31289,421968668|567836980|36134548,421968668,567836980
31290,421968811|421968717|36185900,421968811,421968717
31291,421968811|421968816|36185900,421968811,421968816
31292,421968697|729785857|36134551,421968697,729785857
31293,421968697|567836978|48796471,421968697,567836978
31294,567836980|567836978|44775120,567836980,567836978
31295,"567836980|567836948|[44775124, 48853502]",567836980,567836948
31296,729785857|421968716|36134551,729785857,421968716
31297,729785857|729785869|58898399,729785857,729785869
31298,567836978|558987496|44775120,567836978,558987496
31299,567836978|671847414|48796471,567836978,671847414
31300,421968716|421968717|36134551,421968716,421968717
31301,421968716|421968733|36134553,421968716,421968733
31302,421968717|421968737|134622654,421968717,421968737
31303,421968737|559422913|36134563,421968737,559422913
31304,421968737|945228651|43954705,421968737,945228651
31305,"559422913|1107460188|[43995394, 1040956398]",559422913,1107460188
31306,945228651|558987449|43954705,945228651,558987449
31307,945228651|729785869|81107063,945228651,729785869
31308,558344256|856493698|40876060,558344256,856493698
31309,421968816|422443252|658746584,421968816,422443252
31310,422443252|422443260|36185876,422443252,422443260
31311,422443252|422443250|658746584,422443252,422443250
31312,9981785951|438200410|37800348,9981785951,438200410
31313,9981785951|438202294|304223329,9981785951,438202294
31314,422443245|422443292|36185887,422443245,422443292
31315,"422443245|422443250|[36185872, 36185873, 36185874]",422443245,422443250
31316,"422443292|6517552629|[257075865, 257076169, 36185886]",422443292,6517552629
31317,422443309|422443314|36185890,422443309,422443314
31318,422443309|422443311|36185892,422443309,422443311
31319,422443311|6517523754|257075868,422443311,6517523754
31320,422443311|422443312|36185891,422443311,422443312
31321,422443312|422443323|1040956395,422443312,422443323
31322,422443337|422443345|36134555,422443337,422443345
31323,422443337|422443355|36185899,422443337,422443355
31324,422443345|471437861|36134555,422443345,471437861
31325,422443345|422443352|36185898,422443345,422443352
31326,1189217138|1189218249|102982504,1189217138,1189218249
31327,1189217138|1189216864|102982504,1189217138,1189216864
31328,422567114|422570598|36198545,422567114,422570598
31329,422567114|2625098536|36198546,422567114,2625098536
31330,2625098536|2625098534|256886175,2625098536,2625098534
31331,422636423|1647806594|36202694,422636423,1647806594
31332,422636423|422638420|36202694,422636423,422638420
31333,1647806594|422636427|36203624,1647806594,422636427
31334,422638420|422639356|36202694,422638420,422639356
31335,422638420|422638437|36203670,422638420,422638437
31336,422639356|422639372|36203740,422639356,422639372
31337,249290892|249290704|23093542,249290892,249290704
31338,249290892|1616600345|43340750,249290892,1616600345
31339,249290892|249290904|90432725,249290892,249290904
31340,447835268|447835209|193139751,447835268,447835209
31341,2036544806|7429178905|201081327,2036544806,7429178905
31342,423199628|423199680|36270100,423199628,423199680
31343,423199628|10928237815|36270379,423199628,10928237815
31344,423199628|10928237811|36542561,423199628,10928237811
31345,423199680|1396372999|36270131,423199680,1396372999
31346,423199680|423199637|36270100,423199680,423199637
31347,"423199680|423200185|[36270186, 36270188]",423199680,423200185
31348,"10928237815|423200824|[36270379, 36270286]",10928237815,423200824
31349,10928237815|10928237811|1176165460,10928237815,10928237811
31350,10928237811|423200811|36542561,10928237811,423200811
31351,423199637|582653892|49924738,423199637,582653892
31352,582653892|582653893|45746395,582653892,582653893
31353,423200185|423200221|36542561,423200185,423200221
31354,423200221|423200222|36270193,423200221,423200222
31355,423200221|423200811|36542561,423200221,423200811
31356,423200811|423200824|36270285,423200811,423200824
31357,423200824|1396373002|36270285,423200824,1396373002
31358,601116246|601116228|47154643,601116246,601116228
31359,601116246|601116221|311917917,601116246,601116221
31360,423335450|3168113305|36284740,423335450,3168113305
31361,3168113305|3168113299|311223507,3168113305,3168113299
